Month,Date,Time,Height(m),Time,Height(m),Time,Height(m),Time,Height(m)
01,01,0339,0.40,1008,1.58,1402,1.26,1945,2.90
01,02,0451,0.17,1102,1.63,1446,1.29,2033,3.03
01,03,0553,0.01,1145,1.67,1527,1.29,2123,3.07
01,04,0645,-0.08,1224,1.71,1609,1.27,2215,3.03
01,05,0729,-0.08,1302,1.74,1656,1.24,2305,2.93
01,06,0808,-0.02,1341,1.78,1750,1.23,2351,2.78
01,07,0841,0.09,1421,1.80,1855,1.23,,
01,08,0032,2.59,0910,0.25,1502,1.83,2000,1.23
01,09,0110,2.34,0936,0.43,1540,1.85,2101,1.23
01,10,0148,2.05,0958,0.63,1609,1.90,2200,1.21
01,11,0230,1.73,1020,0.84,1635,1.97,2326,1.17
01,12,0325,1.39,1046,1.03,1715,2.07,,
01,13,0150,1.00,0839,1.28,1129,1.19,1759,2.20
01,14,0318,0.75,1002,1.37,1234,1.29,1842,2.34
01,15,0412,0.54,1042,1.47,1332,1.30,1925,2.49
01,16,0458,0.38,1109,1.54,1420,1.27,2007,2.62
01,17,0539,0.28,1133,1.59,1500,1.22,2049,2.73
01,18,0616,0.21,1157,1.62,1543,1.17,2132,2.81
01,19,0649,0.18,1222,1.64,1626,1.13,2215,2.86
01,20,0719,0.18,1247,1.65,1714,1.09,2258,2.85
01,21,0746,0.21,1311,1.68,1808,1.06,2339,2.79
01,22,0809,0.27,1329,1.71,1904,1.03,,
01,23,0019,2.66,0830,0.35,1342,1.77,1958,0.99
01,24,0059,2.47,0850,0.45,1359,1.87,2052,0.95
01,25,0141,2.21,0911,0.60,1427,2.00,2150,0.91
01,26,0230,1.89,0936,0.78,1509,2.14,2301,0.84
01,27,0335,1.53,1007,1.00,1608,2.28,,
01,28,0037,0.72,0749,1.31,1052,1.21,1719,2.43
01,29,0220,0.51,0949,1.42,1220,1.36,1829,2.59
01,30,0347,0.26,1038,1.54,1341,1.37,1935,2.72
01,31,0451,0.06,1109,1.61,1444,1.31,2036,2.82
02,01,0542,-0.06,1136,1.67,1542,1.21,2133,2.87
02,02,0625,-0.09,1201,1.73,1641,1.10,2223,2.86
02,03,0702,-0.05,1227,1.80,1737,1.00,2307,2.79
02,04,0733,0.05,1251,1.87,1826,0.93,2346,2.65
02,05,0758,0.19,1312,1.92,1910,0.88,,
02,06,0021,2.45,0817,0.36,1329,1.97,1953,0.87
02,07,0053,2.19,0832,0.53,1347,2.02,2037,0.88
02,08,0126,1.90,0846,0.72,1410,2.06,2126,0.91
02,09,0202,1.58,0900,0.91,1442,2.09,2227,0.94
02,10,0246,1.26,0909,1.10,1532,2.10,,
02,11,0021,0.92,1646,2.13,,,,
02,12,0312,0.70,1802,2.22,,,,
02,13,0358,0.51,1043,1.53,1305,1.40,1903,2.34
02,14,0436,0.36,1057,1.59,1407,1.31,1956,2.49
02,15,0511,0.27,1111,1.63,1500,1.19,2044,2.62
02,16,0543,0.22,1124,1.66,1554,1.06,2130,2.73
02,17,0612,0.20,1137,1.71,1649,0.93,2214,2.79
02,18,0639,0.21,1151,1.77,1741,0.80,2256,2.78
