Gregorian Date,Chinese year (Gan-Zhi),Chinese year (Zodiac),Lunar month,Lunar Date
1-Jan-28,丁未年,羊,十二月,初五
2-Jan-28,丁未年,羊,十二月,初六
3-Jan-28,丁未年,羊,十二月,初七
4-Jan-28,丁未年,羊,十二月,初八
5-Jan-28,丁未年,羊,十二月,初九
6-Jan-28,丁未年,羊,十二月,初十
7-Jan-28,丁未年,羊,十二月,十一
8-Jan-28,丁未年,羊,十二月,十二
9-Jan-28,丁未年,羊,十二月,十三
10-Jan-28,丁未年,羊,十二月,十四
11-Jan-28,丁未年,羊,十二月,十五
12-Jan-28,丁未年,羊,十二月,十六
13-Jan-28,丁未年,羊,十二月,十七
14-Jan-28,丁未年,羊,十二月,十八
15-Jan-28,丁未年,羊,十二月,十九
16-Jan-28,丁未年,羊,十二月,二十
17-Jan-28,丁未年,羊,十二月,廿一
18-Jan-28,丁未年,羊,十二月,廿二
19-Jan-28,丁未年,羊,十二月,廿三
20-Jan-28,丁未年,羊,十二月,廿四
21-Jan-28,丁未年,羊,十二月,廿五
22-Jan-28,丁未年,羊,十二月,廿六
23-Jan-28,丁未年,羊,十二月,廿七
24-Jan-28,丁未年,羊,十二月,廿八
25-Jan-28,丁未年,羊,十二月,廿九
26-Jan-28,戊申年,猴,正月,初一
27-Jan-28,戊申年,猴,正月,初二
28-Jan-28,戊申年,猴,正月,初三
29-Jan-28,戊申年,猴,正月,初四
30-Jan-28,戊申年,猴,正月,初五
31-Jan-28,戊申年,猴,正月,初六
1-Feb-28,戊申年,猴,正月,初七
2-Feb-28,戊申年,猴,正月,初八
3-Feb-28,戊申年,猴,正月,初九
4-Feb-28,戊申年,猴,正月,初十
5-Feb-28,戊申年,猴,正月,十一
6-Feb-28,戊申年,猴,正月,十二
7-Feb-28,戊申年,猴,正月,十三
8-Feb-28,戊申年,猴,正月,十四
9-Feb-28,戊申年,猴,正月,十五
10-Feb-28,戊申年,猴,正月,十六
11-Feb-28,戊申年,猴,正月,十七
12-Feb-28,戊申年,猴,正月,十八
13-Feb-28,戊申年,猴,正月,十九
14-Feb-28,戊申年,猴,正月,二十
15-Feb-28,戊申年,猴,正月,廿一
16-Feb-28,戊申年,猴,正月,廿二
17-Feb-28,戊申年,猴,正月,廿三
18-Feb-28,戊申年,猴,正月,廿四
19-Feb-28,戊申年,猴,正月,廿五
20-Feb-28,戊申年,猴,正月,廿六
21-Feb-28,戊申年,猴,正月,廿七
22-Feb-28,戊申年,猴,正月,廿八
23-Feb-28,戊申年,猴,正月,廿九
24-Feb-28,戊申年,猴,正月,三十
25-Feb-28,戊申年,猴,二月,初一
26-Feb-28,戊申年,猴,二月,初二
27-Feb-28,戊申年,猴,二月,初三
28-Feb-28,戊申年,猴,二月,初四
29-Feb-28,戊申年,猴,二月,初五
1-Mar-28,戊申年,猴,二月,初六
2-Mar-28,戊申年,猴,二月,初七
3-Mar-28,戊申年,猴,二月,初八
4-Mar-28,戊申年,猴,二月,初九
5-Mar-28,戊申年,猴,二月,初十
6-Mar-28,戊申年,猴,二月,十一
7-Mar-28,戊申年,猴,二月,十二
8-Mar-28,戊申年,猴,二月,十三
9-Mar-28,戊申年,猴,二月,十四
10-Mar-28,戊申年,猴,二月,十五
11-Mar-28,戊申年,猴,二月,十六
12-Mar-28,戊申年,猴,二月,十七
13-Mar-28,戊申年,猴,二月,十八
14-Mar-28,戊申年,猴,二月,十九
15-Mar-28,戊申年,猴,二月,二十
16-Mar-28,戊申年,猴,二月,廿一
17-Mar-28,戊申年,猴,二月,廿二
18-Mar-28,戊申年,猴,二月,廿三
19-Mar-28,戊申年,猴,二月,廿四
20-Mar-28,戊申年,猴,二月,廿五
21-Mar-28,戊申年,猴,二月,廿六
22-Mar-28,戊申年,猴,二月,廿七
23-Mar-28,戊申年,猴,二月,廿八
24-Mar-28,戊申年,猴,二月,廿九
25-Mar-28,戊申年,猴,二月,三十
26-Mar-28,戊申年,猴,三月,初一
27-Mar-28,戊申年,猴,三月,初二
28-Mar-28,戊申年,猴,三月,初三
29-Mar-28,戊申年,猴,三月,初四
30-Mar-28,戊申年,猴,三月,初五
31-Mar-28,戊申年,猴,三月,初六
1-Apr-28,戊申年,猴,三月,初七
2-Apr-28,戊申年,猴,三月,初八
3-Apr-28,戊申年,猴,三月,初九
4-Apr-28,戊申年,猴,三月,初十
5-Apr-28,戊申年,猴,三月,十一
6-Apr-28,戊申年,猴,三月,十二
7-Apr-28,戊申年,猴,三月,十三
8-Apr-28,戊申年,猴,三月,十四
9-Apr-28,戊申年,猴,三月,十五
10-Apr-28,戊申年,猴,三月,十六
11-Apr-28,戊申年,猴,三月,十七
